,num_bikeshares,fatalities_cyclists,fatalities_pedestrians,majorinjuries_cyclists,majorinjuries_pedestrians,minorinjuries_cyclists,minorinjuries_pedestrians,speeding,total_vehicles
1,1213,,,,,,,,
2,3792,,,,,,,,
3,4748,,,,,,,,
4,2368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,2709,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,1489,,,,,,,,
7,1753,,,,,,,,
8,4080,,,,,,,,
9,6124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
10,7101,,,,,,,,
11,8210,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,5850,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
13,3378,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,2340,,,,,,,,
15,3323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,6836,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
17,4108,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
18,6197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19,7604,,,,,,,,
20,8033,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
21,6542,,,,,,,,
22,9385,,,,,,,,
23,8200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
24,7728,,,,,,,,
25,7096,,,,,,,,
26,7294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,8707,,,,,,,,
28,2867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,7265,,,,,,,,
30,5863,,,,,,,,
31,6387,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0
32,7732,,,,,,,,
33,5199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,3794,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
35,1428,,,,,,,,
36,5895,,,,,,,,
37,6856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
38,4239,,,,,,,,
39,6525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
40,7013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
41,2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,3336,,,,,,,,
43,6857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
44,7235,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
45,8040,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
46,9759,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
47,6922,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
48,3121,,,,,,,,
49,6957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
50,4581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
51,10989,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
52,11806,,,,,,,,
53,7294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,6881,,,,,,,,
55,5407,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
56,4554,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,8465,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,9686,,,,,,,,
59,9710,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
60,7814,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
61,3167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,5714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
63,6513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
64,7699,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
65,7143,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
66,6613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,7777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
68,7235,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
69,8295,,,,,,,,
70,7744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
71,7286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
72,7444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
73,6866,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
74,8491,,,,,,,,
75,7333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
76,5645,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
77,9543,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
78,9559,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
79,2140,,,,,,,,
80,1298,,,,,,,,
81,6628,,,,,,,,
82,8522,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
83,10146,,,,,,,,
84,6847,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
85,9475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,7976,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
87,7416,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
88,13682,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
89,11113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,15874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
91,10468,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
92,9402,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
93,9226,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
94,9909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
95,11740,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
96,14930,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
97,7581,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
98,10159,,,,,,,,
99,8046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,10508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
101,11163,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
102,13086,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
103,16096,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
104,19113,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
105,4855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106,6521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
107,8999,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
108,11395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
109,8692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
110,11567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
111,14040,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
112,13002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
113,11816,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
114,7077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
115,9174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
116,13941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
117,10326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
118,14901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
119,8840,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
120,12334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
121,14127,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
122,13932,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
